id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
191600572,Leiothlypis celata,species,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,https://inaturalist-open-data.s3.amazonaws.com/photos/336163593/original.jpg
127737325,Branta canadensis,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,https://inaturalist-open-data.s3.amazonaws.com/photos/216891243/original.jpeg
127737352,Icterus cucullatus,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,https://inaturalist-open-data.s3.amazonaws.com/photos/216878102/original.jpeg
95807975,Alces alces,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,https://inaturalist-open-data.s3.amazonaws.com/photos/159095870/original.jpeg
127737353,Haemorhous mexicanus,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,https://inaturalist-open-data.s3.amazonaws.com/photos/216878480/original.jpeg
127737355,Spinus psaltria,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,https://inaturalist-open-data.s3.amazonaws.com/photos/216878117/original.jpeg
127737356,Agelaius phoeniceus,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,https://inaturalist-open-data.s3.amazonaws.com/photos/216891315/original.jpg
127737356,Agelaius phoeniceus,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,https://inaturalist-open-data.s3.amazonaws.com/photos/223485413/original.jpg
127737357,Spinus psaltria,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,https://inaturalist-open-data.s3.amazonaws.com/photos/216878144/original.jpeg
127737358,Mimus polyglottos,species,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,https://inaturalist-open-data.s3.amazonaws.com/photos/216878162/original.jpeg
127737360,Astur cooperii,species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Astur,https://inaturalist-open-data.s3.amazonaws.com/photos/216878218/original.jpeg
127737360,Astur cooperii,species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Astur,https://inaturalist-open-data.s3.amazonaws.com/photos/216878187/original.jpeg
127737360,Astur cooperii,species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Astur,https://inaturalist-open-data.s3.amazonaws.com/photos/216878461/original.jpeg
127737362,Psaltriparus minimus,species,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,https://inaturalist-open-data.s3.amazonaws.com/photos/216878370/original.jpeg
127737363,Calypte anna,species,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,https://inaturalist-open-data.s3.amazonaws.com/photos/216878393/original.jpeg
127737364,Spinus psaltria,species,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,https://inaturalist-open-data.s3.amazonaws.com/photos/216878412/original.jpeg
127737366,Castor canadensis,species,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,https://inaturalist-open-data.s3.amazonaws.com/photos/216878250/original.jpeg
191600590,Basilinna xantusii,species,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Basilinna,https://inaturalist-open-data.s3.amazonaws.com/photos/336163807/original.jpeg
191600590,Basilinna xantusii,species,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Basilinna,https://inaturalist-open-data.s3.amazonaws.com/photos/336180834/original.jpeg
